Panel,θ_D,F_D,η_D,θ_P,F_P,η_P,α,β,γ,δ
B1,0.3,0.0,1.0,1.0,1.0,1.0,0.1,0.0,0.1,0.0
B2,0.3,0.0,1.0,1.0,1.0,1.0,0.21,0.0,0.21,0.0
B3,0.3,0.0,1.0,1.0,1.0,1.0,0.15,0.0,0.55,0.0
B4,0.3,0.0,1.0,1.0,1.0,1.0,0.21,0.0,0.91,0.0
B5,0.3,0.0,1.0,1.0,1.0,1.0,0.15,0.0,1.1,0.0
B6,0.3,0.0,1.0,1.0,1.0,1.0,0.55,0.0,0.15,0.0
B7,0.3,0.0,1.0,1.0,1.0,1.0,0.91,0.0,0.21,0.0
B8,0.3,0.0,1.0,1.0,1.0,1.0,0.42,0.0,0.42,0.0
B9,0.3,0.0,1.0,1.0,1.0,1.0,0.7,0.0,0.7,0.0
B10,0.3,0.0,1.0,1.0,1.0,1.0,0.65,0.0,1.1,0.0
B11,0.3,0.0,1.0,1.0,1.0,1.0,1.1,0.0,0.15,0.0
B12,0.3,0.0,1.0,1.0,1.0,1.0,1.1,0.0,0.65,0.0
B13,0.3,0.0,1.0,1.0,1.0,1.0,1.09,0.0,1.09,0.0
D,0.7,0.0,1.0,1.0,1.0,1.0,0.58,0.0,0.58,0.0
